city,lat,lng,max temp,humidity,cloudiness,windspeed,country,date,name,max temp F
longyearbyen,78.2186,15.6401,265.06,62.0,75.0,4.12,SJ,1644356363,Longyearbyen,17.438000000000045
alofi,-19.0595,-169.9187,298.29,86.0,100.0,8.5,NU,1644356363,Alofi,77.25200000000008
saint george,37.1041,-113.5841,292.18,19.0,0.0,1.34,US,1644356174,Saint George,66.25400000000005
havre-saint-pierre,50.2334,-63.5986,269.15,86.0,100.0,10.29,CA,1644356364,Havre-St-Pierre,24.8
pistoia,43.9667,10.8333,279.31,73.0,0.0,2.24,IT,1644356364,Provincia di Pistoia,43.088000000000044
luderitz,-26.6481,15.1594,294.39,75.0,27.0,4.26,NA,1644356365,Lüderitz,70.23200000000001
vaini,-21.2,-175.2,300.24,94.0,40.0,5.66,TO,1644356365,Vaini,80.76200000000006
riyadh,24.6877,46.7219,285.23,33.0,0.0,1.64,SA,1644356226,Riyadh,53.74400000000007
kapaa,22.0752,-159.319,299.33,65.0,0.0,4.63,US,1644356365,Kapaa,79.12400000000001
mazurivka,49.2745,24.2123,274.59,97.0,99.0,7.79,UA,1644356366,Mazurivka,34.592
nanortalik,60.1432,-45.2371,261.48,62.0,4.0,11.84,GL,1644356366,Nanortalik,10.994000000000074
nagua,19.3832,-69.8474,301.32,74.0,40.0,2.06,DO,1644356366,Nagua,82.70600000000003
ancud,-41.8697,-73.8203,293.28,61.0,66.0,3.25,CL,1644356367,Ancud,68.234
bumba,2.1833,22.4667,296.05,38.0,79.0,1.01,CD,1644356367,Bumba,73.22000000000006
jamestown,42.097,-79.2353,270.98,56.0,100.0,6.17,US,1644356262,Jamestown,28.094000000000072
mar del plata,-38.0023,-57.5575,293.16,81.0,0.0,6.71,AR,1644356326,Mar del Plata,68.01800000000009
ribeira grande,38.5167,-28.7,288.37,77.0,75.0,3.09,PT,1644356367,Ribeira Grande,59.39600000000005
hermanus,-34.4187,19.2345,291.43,89.0,74.0,3.19,ZA,1644356368,Hermanus,64.90400000000005
vostok,46.4856,135.8833,252.19,99.0,100.0,1.67,RU,1644356368,Vostok,-5.727999999999966
wattegama,6.7989,81.4808,297.66,78.0,99.0,2.58,LK,1644356369,Wattegama,76.11800000000008
malanje,-9.5402,16.341,289.39,90.0,100.0,1.21,AO,1644356369,Malanje,61.23200000000001
carnarvon,-24.8667,113.6333,297.19,69.0,40.0,5.66,AU,1644356369,Carnarvon,75.27200000000003
limbang,4.75,115,298.32,98.0,100.0,0.94,MY,1644356370,Limbang,77.30600000000003
touros,-5.1989,-35.4608,301.65,70.0,5.0,7.34,BR,1644356370,Touros,83.3
miri,4.4148,114.0089,297.23,94.0,40.0,1.54,MY,1644356370,Marabu,75.34400000000008
keti bandar,24.1447,67.4497,293.84,65.0,0.0,4.5,PK,1644356371,Keti Bandar,69.24199999999999
hobart,-42.8794,147.3294,289.32,84.0,20.0,4.12,AU,1644355918,Hobart,61.10600000000003
coihaique,-45.5752,-72.0662,292.12,32.0,20.0,4.12,CL,1644356371,Coyhaique,66.14600000000004
la orilla,17.9833,-102.2333,300.42,61.0,3.0,3.84,MX,1644356372,La Orilla,81.08600000000007
marion,39.7684,-86.1555,281.36,58.0,20.0,5.14,US,1644356372,Marion,46.77800000000006
chicama,-7.8447,-79.1469,294.45,60.0,64.0,4.17,PE,1644356372,Chicama,70.34000000000002
elista,46.3078,44.2558,275.44,100.0,100.0,9.0,RU,1644356191,Elista,36.122000000000035
lavrentiya,65.5833,-171,242.09,94.0,51.0,5.71,RU,1644356373,Lavrentiya,-23.907999999999944
marsabit,2.3284,37.9899,294.69,32.0,74.0,3.93,KE,1644356373,Marsabit,70.77200000000003
pangnirtung,66.1451,-65.7125,250.15,77.0,100.0,2.57,CA,1644356373,Pangnirtung,-9.399999999999949
yumen,40.2833,97.2,265.02,52.0,39.0,2.79,CN,1644356374,Yumen,17.366000000000007
shache,38.4167,77.2406,271.03,50.0,100.0,2.43,CN,1644356374,Shache,28.18399999999999
kodiak,57.79,-152.4072,269.88,59.0,0.0,6.69,US,1644356374,Saint Paul Harbor,26.114000000000033
padang,-0.9492,100.3543,296.18,80.0,99.0,2.49,ID,1644356199,Padang,73.45400000000005
virginia beach,36.8529,-75.978,282.17,68.0,100.0,0.89,US,1644356251,Virginia Beach,48.23600000000007
nikolskoye,59.7035,30.7861,271.37,96.0,100.0,2.15,RU,1644356375,Nikolskoye,28.79600000000005
airai,-8.9266,125.4092,289.35,94.0,100.0,0.24,TL,1644356375,Airai,61.16000000000008
dharmabad,18.9,77.85,295.19,59.0,36.0,3.25,IN,1644356376,Dharmābād,71.67200000000004
la ciotat,43.1748,5.6045,283.96,86.0,3.0,3.87,FR,1644356376,La Ciotat,51.458000000000006
port blair,11.6667,92.75,298.66,77.0,84.0,3.32,IN,1644356376,Port Blair,77.91800000000009
ossora,59.2353,163.0719,259.14,96.0,100.0,3.46,RU,1644356349,Ossora,6.782000000000018
fortuna,40.5982,-124.1573,287.4,79.0,0.0,5.66,US,1644356377,Fortuna,57.65
port hardy,50.6996,-127.4199,281.35,87.0,100.0,6.17,CA,1644356377,Port Hardy,46.76000000000008
broken hill,-31.95,141.4333,293.99,73.0,75.0,1.54,AU,1644356377,Broken Hill,69.51200000000006
atar,20.5169,-13.0499,297.06,10.0,74.0,4.19,MR,1644356151,Atar,75.03800000000004
severo-kurilsk,50.6789,156.125,272.41,93.0,95.0,12.28,RU,1644356378,Severo-Kuril'sk,30.668000000000085
saldanha,-33.0117,17.9442,291.18,92.0,64.0,3.32,ZA,1644356378,Saldanha,64.45400000000005
san juan de los morros,9.9115,-67.3538,303.16,55.0,92.0,1.36,VE,1644356379,San Juan de los Morros,86.01800000000009
salisbury,51.0693,-1.7957,283.49,90.0,100.0,3.6,GB,1644356379,Salisbury,50.61200000000006
nuevitas,21.5453,-77.2644,298.84,70.0,14.0,4.08,CU,1644356379,Nuevitas,78.24199999999999
grand gaube,-20.0064,57.6608,297.37,79.0,62.0,1.34,MU,1644356380,Grand Gaube,75.59600000000005
kaka,37.3482,59.6143,278.87,67.0,0.0,2.58,TM,1644356380,Kaka,42.29600000000005
rorvik,64.8621,11.2373,275.21,87.0,75.0,9.26,NO,1644356380,Rørvik,35.708000000000006
geraldton,-28.7667,114.6,289.38,88.0,0.0,4.12,AU,1644356381,Geraldton,61.214000000000034
esperance,-33.8667,121.9,286.06,68.0,31.0,2.32,AU,1644356381,Esperance,55.23800000000004
zhigansk,66.7697,123.3711,232.37,100.0,97.0,1.25,RU,1644356381,Zhigansk,-41.403999999999954
lake charles,30.2131,-93.2044,291.14,29.0,0.0,3.6,US,1644356221,Lake Charles,64.38200000000002
hamilton,39.1834,-84.5333,281.8,56.0,0.0,5.66,US,1644356176,Hamilton,47.570000000000064
port alfred,-33.5906,26.891,295.34,85.0,7.0,4.44,ZA,1644356382,Port Alfred,71.942
noumea,-22.2763,166.4572,300.93,99.0,98.0,7.16,NC,1644356382,Noumea,82.00400000000005
samarai,-10.6167,150.6667,300.84,76.0,53.0,1.6,PG,1644356383,Samarai,81.842
punta cardon,11.6581,-70.215,299.87,75.0,30.0,13.45,VE,1644356383,Punta Cardon,80.09600000000005
agropoli,40.3469,14.9966,283.86,67.0,0.0,2.94,IT,1644356383,Agropoli,51.27800000000006
iqaluit,63.7506,-68.5145,255.2,77.0,100.0,3.09,CA,1644356384,Iqaluit,-0.30999999999998096
saint-philippe,-21.3585,55.7679,297.92,86.0,78.0,3.76,RE,1644356384,Saint-Philippe,76.58600000000007
bengkulu,-3.8004,102.2655,297.95,84.0,100.0,2.42,ID,1644356385,Bengkulu,76.64000000000001
east london,-33.0153,27.9116,296.64,87.0,4.0,2.36,ZA,1644356385,East London,74.28200000000001
san patricio,28.017,-97.5169,295.2,27.0,0.0,0.67,US,1644356385,San Patricio,71.69000000000003
ghosi,26.1083,83.5436,285.43,84.0,0.0,2.3,IN,1644356386,Ghosī,54.104000000000056
byron bay,-28.65,153.6167,295.4,77.0,21.0,2.54,AU,1644355593,Byron Bay,72.05
poya,-21.35,165.15,299.68,91.0,99.0,6.39,NC,1644356386,Poya,79.75400000000005
souillac,-20.5167,57.5167,297.36,88.0,40.0,1.54,MU,1644356386,Souillac,75.57800000000006
fort nelson,58.8053,-122.7002,257.92,72.0,100.0,1.54,CA,1644356387,Fort Nelson,4.58600000000007
alice springs,-23.7,133.8833,295.9,88.0,75.0,0.0,AU,1644356387,Alice Springs,72.95
reims,49.1667,4.0833,282.03,87.0,100.0,3.09,FR,1644356388,Arrondissement de Reims,47.983999999999995
sinaloa,25,-107.5,303.21,22.0,0.0,3.11,MX,1644356388,Sinaloa,86.108
beringovskiy,63.05,179.3167,244.39,90.0,5.0,5.41,RU,1644356388,Beringovskiy,-19.767999999999986
lata,40.1629,-8.3327,285.21,65.0,0.0,2.06,PT,1644356389,Lata,53.708000000000006
clyde river,70.4692,-68.5914,241.28,68.0,75.0,2.06,CA,1644356389,Clyde River,-25.365999999999964
saint anthony,45.0205,-93.218,279.33,66.0,0.0,3.6,US,1644356389,Saint Anthony,43.12400000000001
khatanga,71.9667,102.5,257.83,83.0,100.0,7.47,RU,1644356390,Khatanga,4.424000000000014
alyangula,-13.8483,136.4192,296.08,100.0,40.0,0.0,AU,1644356390,Alyangula,73.27400000000002
narasannapeta,18.4167,84.05,293.41,81.0,22.0,1.01,IN,1644356390,Narasannapeta,68.46800000000009
leshan,29.5623,103.7639,275.88,92.0,23.0,0.52,CN,1644356390,Leshan,36.91400000000003
shadegan,30.6497,48.6647,285.1,44.0,0.0,4.11,IR,1644356391,Shādegān,53.51000000000008
moose factory,51.2585,-80.6094,268.15,63.0,0.0,2.06,CA,1644356391,Moose Factory,23.0
port moresby,-9.4431,147.1797,297.83,94.0,40.0,1.54,PG,1644356391,Port Moresby,76.424
ahipara,-35.1667,173.1667,298.58,80.0,81.0,4.08,NZ,1644356392,Ahipara,77.77400000000002
thompson,55.7435,-97.8558,266.24,79.0,100.0,4.63,CA,1644356392,Thompson,19.562000000000058
barrow,71.2906,-156.7887,239.16,100.0,0.0,3.09,US,1644356392,Barrow,-29.181999999999974
saint-pierre,-21.3393,55.4781,297.97,78.0,75.0,1.54,RE,1644356393,Saint-Pierre,76.67600000000009
cabo san lucas,22.8909,-109.9124,299.6,51.0,0.0,4.63,MX,1644356140,Cabo San Lucas,79.61000000000008
mahebourg,-20.4081,57.7,297.31,88.0,40.0,1.54,MU,1644356393,Mahébourg,75.48800000000004
lantawan,10.6167,123.9833,297.98,89.0,93.0,3.31,PH,1644356394,Lantawan,76.69400000000007
fairbanks,64.8378,-147.7164,255.64,70.0,75.0,2.57,US,1644356101,Fairbanks,0.4820000000000171
khorixas,-20.3667,14.9667,294.46,70.0,89.0,4.63,NA,1644356394,Khorixas,70.358
port-gentil,-0.7193,8.7815,301.13,83.0,40.0,4.63,GA,1644356301,Port-Gentil,82.36400000000003
faanui,-16.4833,-151.75,300.79,78.0,17.0,8.82,PF,1644356395,Faanui,81.75200000000008
asosa,10.0667,34.5333,293.04,33.0,19.0,1.59,ET,1644356395,Āsosa,67.80200000000008
arraial do cabo,-22.9661,-42.0278,295.07,94.0,100.0,5.14,BR,1644356396,Arraial do Cabo,71.45600000000003
alta floresta,-9.8756,-56.0861,296.94,93.0,99.0,1.48,BR,1644356396,Alta Floresta,74.82200000000003
kununurra,-15.7667,128.7333,298.14,88.0,75.0,2.06,AU,1644356197,Kununurra,76.98200000000001
miles city,46.4083,-105.8406,284.55,36.0,0.0,11.32,US,1644356396,Miles City,52.52000000000006
genhe,50.7833,121.5167,252.24,100.0,98.0,0.8,CN,1644356397,Genhe,-5.637999999999941
ouadda,8.0777,22.4007,292.33,21.0,58.0,2.37,CF,1644356397,Ouadda,66.52400000000002
soe,-9.8607,124.284,292.55,92.0,96.0,1.22,ID,1644356397,Soe,66.92000000000006
borzya,50.3833,116.5167,249.1,100.0,80.0,0.33,RU,1644356398,Borzya,-11.28999999999997
kushima,31.4583,131.2333,281.17,80.0,100.0,3.85,JP,1644356398,Kushima,46.43600000000007
tura,25.5198,90.2201,285.03,72.0,2.0,1.5,IN,1644356399,Tura,53.38399999999999
tyler,32.3513,-95.3011,291.18,23.0,0.0,5.66,US,1644356152,Tyler,64.45400000000005
sao filipe,14.8961,-24.4956,295.66,74.0,2.0,2.36,CV,1644356399,São Filipe,72.51800000000009
katsuura,35.1333,140.3,278.25,77.0,94.0,5.49,JP,1644356399,Katsuura,41.18000000000004
kintampo,8.0563,-1.7306,302.06,22.0,58.0,0.58,GH,1644356400,Kintampo,84.03800000000004
sawakin,19.1059,37.3321,295.25,75.0,18.0,2.27,SD,1644356400,Sawākin,71.78000000000004
maceio,-9.6658,-35.7353,300.84,74.0,20.0,4.63,BR,1644356401,Maceió,81.842
yulara,-25.2406,130.9889,297.06,83.0,40.0,3.09,AU,1644356401,Yulara,75.03800000000004
colares,38.7992,-9.4469,288.03,60.0,0.0,2.24,PT,1644356402,Colares,58.78399999999999
puerto colombia,10.9878,-74.9547,302.2,81.0,9.0,8.42,CO,1644356403,Puerto Colombia,84.29000000000002
pafos,34.7667,32.4167,289.1,77.0,20.0,4.63,CY,1644356404,Paphos,60.71000000000008
santiago,-33.4569,-70.6483,306.64,28.0,0.0,9.77,CL,1644355767,Santiago,92.28200000000001
belmonte,-15.8631,-38.8828,300.43,83.0,6.0,3.73,BR,1644356405,Belmonte,81.10400000000006
kampot,10.6167,104.1833,300.18,83.0,96.0,0.94,KH,1644356405,Kampot,80.65400000000005
coahuayana,18.7333,-103.6833,304.86,48.0,0.0,3.53,MX,1644356406,Coahuayana Viejo,89.07800000000006
vangaindrano,-23.35,47.6,297.62,95.0,97.0,4.55,MG,1644356406,Vangaindrano,76.04600000000005
morant bay,17.8815,-76.4093,301.94,75.0,23.0,3.31,JM,1644356406,Morant Bay,83.82200000000003
port hedland,-20.3167,118.5667,297.18,94.0,100.0,3.09,AU,1644356407,Port Hedland,75.25400000000005
vestmannaeyjar,63.4427,-20.2734,274.89,75.0,100.0,4.99,IS,1644356407,Vestmannaeyjar,35.13200000000002
ola,59.5833,151.2833,253.72,82.0,87.0,3.94,RU,1644356407,Ola,-2.973999999999961
grindavik,63.8424,-22.4338,272.41,100.0,75.0,4.63,IS,1644356408,Grindavik,30.668000000000085
saint-joseph,-21.3667,55.6167,297.36,85.0,80.0,3.62,RE,1644356408,Saint-Joseph,75.57800000000006
anshun,26.25,105.9333,272.78,88.0,100.0,2.68,CN,1644356408,Anshun,31.333999999999993
vanimo,-2.6741,141.3028,299.05,88.0,80.0,1.43,PG,1644356409,Vanimo,78.62000000000006
leningradskiy,69.3833,178.4167,240.25,81.0,13.0,1.66,RU,1644356160,Leningradskiy,-27.219999999999956
fatehpur,25.9333,80.8,286.37,76.0,1.0,3.32,IN,1644356409,Fatehpur,55.79600000000005
alugan,12.2188,125.4808,299.61,74.0,100.0,5.99,PH,1644356410,Alugan,79.62800000000007
whitehorse,60.7161,-135.0538,274.58,78.0,75.0,9.77,CA,1644356410,Whitehorse,34.57400000000001
abreus,22.2775,-80.5675,301.7,49.0,21.0,4.66,CU,1644356410,Abreus,83.39000000000001
